code,language_description
ABK,ABKHAZIAN
AEB,TUNISIAN ARABIC
AEE,NORTHEAST PASHAYI
AFE,AFAR
AFR,AFRIKAANS
AKA,AKAN
ALB,ALBANIAN (TOSK)
AMH,AMHARIC
ANW,ANAANG
APA,APACHE
ARA,ARABIC
ARM,ARMENIAN
ASM,ASSAMESE
ASY,ASSYRIAN
AUS,AUSTRONESIAN
AUV,OCCITIAN
AYM,AYMARA
AZE,AZERBAIJANI
BAL,BALOCHI
BAN,BANGLADESH
BCY,BISLAMA
BEL,BELARUSIAN
BEN,BENGALE
BHJ,BIHARI
BIS,BISAYS
BJE,BIAO JIAO MIEN
BJT,BALANT - GANJA
BLG,BULGARIAN
BOS,BOSNIAN
BRA,BRAILLE
BRT,BRETON
BSQ,BASQUE
BUR,BURMES
BXR,BASHKIR
CAI,TEWA
CAM,CAMBODIAN
CAN,CANTONESE
CDO,FOOCHOW
CEB,CEBYANO-VISAYAN
CFR,FUKINESE
CHI,CHINESE
CLN,CATALAN
COI,CORICANN
CRE,CREOLE
CRO,CROATIAN
CZE,CZECH
CZH,CHIU CHOW
DAN,DANISH
DIN,TWI
DIV,DHIVEHI
DOI,DOGRI
DUT,DUTCH
DZO,DZONGKHA
EGY,EGYPTIAN
EPO,ESPERANTO
ESG,GREENLANDIC
ESI,INUPIAK
ESK,ESKIMO
EST,ESTONIAN
ETH,ETHIOPIAN
EWE,EWE
FAO,FAROESE
FAR,FARSI
FIL,FILIPINO
FIN,FINNISH
FJL,FIJI
FRE,FRENCH
FRS,FRISIAN
GAE,GAELIC
GAX,(AFAN) OROMO
GBZ,DARI
GEO,GEORGIAN
GER,GERMAN
GJU,GUTJARI
GLH,NORTHWEST PASHAYI
GLN,GALICIAN
GRE,GREEK
GUJ,GUJARATI
GUN,GUARANI
GYN,GUYANESE
HAI,HAITIAN
HAK,HAKKA CHINESE
HEB,HERBREW
HIN,HINDI
HLA,HALIA
HMN,HMONG
HMO,HIRI MOTU
HUA,HAUSA
HUN,HUNGARIAN
HWI,HAWAIIAN
IBO,IBO
ICE,ICELANDIC
IGB,IGBO
ILK,ILONGOT
ILO,ILOCANO
IND,INDIAN
INO,INDONESIAN
IRA,IRANIAN
IRI,IRISH
ITA,ITALIAN
ITS,ITSEKIRI
JAM,JAMAICAN
JAP,JAPANESE
JAV,JAVANESE
KAN,KANARESE
KAZ,KAZAKH
KDO,KIRGHIZ
KIR,KYRGYZ
KIS,KISWAHILI
KJG,KHMU
KJV,KANNADA
KNN,KONKANI
KOR,KOREAN
KSH,KASHMIRI
KTU,KITUBA
KUR,KURDISH
LAO,LAOTIAN
LAT,LATIN
LAV,LATVIAN
LEB,LEBANESE
LIN,LINGALA
LIT,LITHUANIAN
LKT,LAKOTA SIOUX
LTZ,LUXEMBOURGER
LUG,LUGANDA
LUT,LUSHOOTSEED-PUYALLUP
MAH,MARSHALLESE-EBON
MAI,MAITHILI
MAL,MALAYAN
MAN,MANDARIN
MAR,MARATHI
MBF,MAORI
MJS,MALAYALAM
MKH,KHMER
MLI,MALAY
MLS,MALTESE
MNI,MANIPURI
MNW,MON
MOH,MOHAWK
MON,MONGOLIAN
NAI,KERES
NAN,MIN-NAN CHINESE
NAV,DINE / NAVAJO
NDE,NDEBELE
NEP,NEPALI
NIG,NIGERIAN
NLD,BELGIAN
NOR,NORWEGIAN
NSO,NORTHERN SOTHO
NZE,NZEMA
OR,ORIYA
PAK,PAKISTANI
PBT,PASHTU
PBU,PUSHTO
PER,PERSIAN
POH,POMPEIAN
POL,POLISH
POR,PORTUGUESE
PRC,PARACHI
PRP,PARSI
PSH,SOUTHWEST PASHAYI
PSI,SOUTHEAST PASHAYI
PST,PASHTO
PUN,PUNJABI
PYD,PENNSYLVANIA DUTCH
QEC,QUECHUA
RHE,RHAETO-ROMANCE
ROH,ROMANSH
ROM,ROMANIAN
RUA,KINYARWANDA
RUD,KIRUNDI
RUM,MOLDAVIAN
RUS,RUSSIAN
RUW,BYELORUSSIAN
SAM,SAMOAN
SAN,SANSKRIT
SAT,SANTALI
SBN,SINDHI
SCC,SERBO-CROATIAN
SCI,SRI LANKAN MALAY
SCO,SCOTTISH
SCY,SCANIAN
SER,SERBIAN
SHA,SHANGHAINE
SHD,SHONA
SIG,SIGN LANUAGE
SIH,SINHI
SIT,BODO
SLA,SLAVIC
SLO,SLOVAK
SLV,SLOVENE
SNA,SHONIA
SNH,SINHALESE
SOM,SOMALI
SOT,SOTHO
SPA,SPANISH
SRC,"SERBO-CROATIAN, ROMAN"
SRH,TAJIK
SSO,SESOTHO
SSW,SWAZI
SWA,SWAHILI
SWE,SWEDISH
SWZ,SISWATI
SYR,SYRIAN
TAG,TAGALOG
TAI,TAIWANESE
TAM,TAMIL
TCK,TURKMEN
TCY,TULU
TDD,TDD MACHINE
TEL,TELUGU
TGN,TIGRINYA
THA,THAI
TNZ,TONGA
TOR,TORUBA
TPI,TOK PISIN
TRK,MACEDONIAN
TSH,TSJILUBA
TSO,TSONGA
TSW,TSWANA (SETSWANA)
TTR,TATAR
TUM,TUMBUKA
TUR,TURKISH
TZM,TAMAZIGHT
UKR,UKRAINIAN
URD,URDU
UZB,UZBEK
VEN,VENDA
VER,VERMONT
VIE,VIETNAMESE
VLM,VLAAMS / FLEMISH
WLS,WELSH
WOF,WOLOF
XMV,MALAGASY
XOS,XHOSA
YAK,YAKIMA
YID,YIDDISH
YIE,YI CHINESE
YOR,YORUBA
YUE,TOISHANESE
YUG,YUGOSLAV
ZUL,ZULU
ZUN,ZUNI
